id,metadata,is_deleted,created_at,updated_at,deleted_at,created_by,job,title,task_type,status,is_completed,hints,additional_notes
ef489d47-c4bf-4028-9511-b24d436f4fac,,0,2023-08-23 21:06:52,2023-08-23 21:06:52,,56fdd832-768f-4fef-ac78-7ffb6a756473,9dd4a1a0-103d-412d-ae57-14b64306289a,Get View only access to Chase Bank,,not_started,0,,<p><br></p>
646357e6-80cf-4438-a0bc-ffd130a385d2,,0,2023-08-23 21:05:22,2023-08-23 21:05:22,,56fdd832-768f-4fef-ac78-7ffb6a756473,9dd4a1a0-103d-412d-ae57-14b64306289a,Design Trek Checking,,not_started,0,,<p><br></p>
b38ef24c-b4d2-43cf-b8a6-3fa75814e6fe,,0,2023-08-23 21:05:04,2023-08-23 21:05:04,,56fdd832-768f-4fef-ac78-7ffb6a756473,9dd4a1a0-103d-412d-ae57-14b64306289a,World Design Captial Checking,,not_started,0,,
620ca90e-9ae6-4740-abdb-586fb5d864fe,,0,2023-08-23 21:04:40,2023-08-23 21:04:40,,56fdd832-768f-4fef-ac78-7ffb6a756473,9dd4a1a0-103d-412d-ae57-14b64306289a,Paypal,,not_started,0,,
a6b4b4fe-8564-48c8-a813-24ce34639d47,,0,2023-08-23 21:04:26,2023-08-23 21:04:26,,56fdd832-768f-4fef-ac78-7ffb6a756473,9dd4a1a0-103d-412d-ae57-14b64306289a,DFA Main Savings,,not_started,0,,
59d6bad4-67a1-4974-97b3-6ee1fed6287b,,0,2023-08-23 21:04:12,2023-08-23 21:04:12,,56fdd832-768f-4fef-ac78-7ffb6a756473,9dd4a1a0-103d-412d-ae57-14b64306289a,DFA Main checking,,not_started,0,,
2eed6af1-e6d0-4306-92bb-43a3ae6fa1ab,,0,2023-08-17 21:25:06,2023-08-18 23:31:49,,56fdd832-768f-4fef-ac78-7ffb6a756473,c76616cf-217e-4bde-8107-73a9e1941fed,Get View only access with statements for Paypal,,in_progress,0,,"<p>Username : ASMBeachwood</p><p>
Password: Beachwood2023
</p><p>Accounts email
number: 8582471699&nbsp;<br></p>"
91eb8edf-65d1-4a19-a766-99c78235b7a4,,0,2023-08-17 21:24:17,2023-08-18 21:35:31,,56fdd832-768f-4fef-ac78-7ffb6a756473,c76616cf-217e-4bde-8107-73a9e1941fed,Get View only access to Wells Fargo Bank,,completed,1,,<p>User: albert_salazar</p><p>PW: Beachwood123!</p>
c97c1107-ad17-4aff-9f95-9ef234fd0bcf,,0,2023-08-17 21:22:39,2023-08-18 23:32:54,,56fdd832-768f-4fef-ac78-7ffb6a756473,c76616cf-217e-4bde-8107-73a9e1941fed,Onboard to Payment System,,in_progress,0,,
481a7dec-f048-4a80-93ba-2b2d42d26ac7,,0,2023-08-17 21:20:56,2023-08-18 23:32:44,,56fdd832-768f-4fef-ac78-7ffb6a756473,c76616cf-217e-4bde-8107-73a9e1941fed,Onboard to Support Email system,,in_progress,0,,<p><br></p>
c03f56d2-25cb-47ef-a013-b87017edccbc,,0,2023-08-11 19:22:36,2023-08-11 19:25:18,,ce0676ba-4e86-4680-a32e-c477adcb7ffa,7b339866-6965-4459-834c-bde4a2cd4162,Get Payroll Access - I think he uses ADP,,not_started,0,,<p>Get ADP Client # so we can make a request on our end.</p>
9ff58949-028d-4658-8b20-4b001d6f48f4,,0,2023-08-11 19:21:42,2023-08-11 19:21:42,,ce0676ba-4e86-4680-a32e-c477adcb7ffa,7b339866-6965-4459-834c-bde4a2cd4162,Is Payday account a business account?  If so get accountant access,,not_started,0,,
8aa2fa00-d247-479e-837c-8162a9c0ac93,,0,2023-08-11 19:20:09,2023-08-11 19:20:09,,ce0676ba-4e86-4680-a32e-c477adcb7ffa,7b339866-6965-4459-834c-bde4a2cd4162,Onboard to Support Email system,,not_started,0,,
635b0680-19e5-4e96-9b7f-e652a322f12b,,0,2023-08-11 19:20:00,2023-08-11 19:20:00,,ce0676ba-4e86-4680-a32e-c477adcb7ffa,7b339866-6965-4459-834c-bde4a2cd4162,Onboard to Payment System,,not_started,0,,
9affa730-30fd-4b73-a5f6-6c7b67f81130,,0,2023-08-11 19:19:48,2023-08-11 19:19:48,,ce0676ba-4e86-4680-a32e-c477adcb7ffa,7b339866-6965-4459-834c-bde4a2cd4162,Get accountant access to A. Moore,,not_started,0,,
09db0de6-ccad-4836-934c-e29c5bb10919,,0,2023-08-11 19:19:27,2023-08-11 19:19:27,,ce0676ba-4e86-4680-a32e-c477adcb7ffa,7b339866-6965-4459-834c-bde4a2cd4162,Get Accountant Access to R. Cuevas credit card,,not_started,0,,
8ea1e22b-9b3f-48b1-a9e5-4e2c7da9773d,,0,2023-08-11 19:18:13,2023-08-15 20:51:15,,56fdd832-768f-4fef-ac78-7ffb6a756473,7b339866-6965-4459-834c-bde4a2cd4162,Accountant Access to complete Business Checking,,completed,1,,"<p>Chase bank</p><p>User:&nbsp;Revolutionaryindustries19</p><p>PW: beachwood2023</p><p>Security Code: beach2023</p><p>Phone Number:&nbsp; 8582471699</p><p>Address:
5355 Via Bello
San Diego, CA 92111</p><p>Email: clientaccounts@beachwoodfinancial.com</p><p>Name: Albert Salazar</p>"
716bae67-29c6-4f73-b069-d0391f08d54a,,0,2023-07-12 20:53:15,2023-07-13 19:35:21,,56fdd832-768f-4fef-ac78-7ffb6a756473,9875337a-6f2f-4505-bfad-6405e1eacb23,Get Chevy Tahoe Latest loan statement,,not_started,0,,"<p>You can find this on email subject to Albert:&nbsp;<span style=""color: rgb(66, 66, 66); font-family: &quot;Segoe UI&quot;, &quot;Segoe UI Web (West European)&quot;, &quot;Segoe UI&quot;, -apple-system, BlinkMacSystemFont, Roboto, &quot;Helvetica Neue&quot;, sans-serif; font-size: 20px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 600; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Fw: Loan Statements Mark's Chevy Tahoe and SBA<span>&nbsp;</span></span></p>"
